1,anusha pariti,8105987404,Grade B
2,Ashish Singh,9876890463,Grade A
3,Bhaskar maheshwari,9801834992,Grade A
4,Garima yadav,81059237004,Grade B
5,Tanvi mann,9178352769,Grade B
6,Harish sahai,9876548763,Grade A
7,Kamal gera,8105987404,Grade C
8,Tushar kapoor,8926537154,Grade C
9,Shivshankar das,9801834992,Grade B
10,Aditi jain,9873123456,Grade B
11,Deepa sudhakar,7896785432,Grade B
12,Umang parejiya,7896543674,Grade A
13,Mitali gupta,8796751238,Grade A
14,Manisha Yadav,9867845182,Grade A
15,Shivani godha,9878673428,Grade C
16,Rajan pandey,8987647811,Grade C
17,Roosena manuel,9875623345,Grade A
18,Prabhjot gill,9800786688,Grade B
19,Ankita sharma,9988789656,Grade B
20,Karan Singh,8976665768,Grade B
